,RANK,POENG,Resultat,Lagnavn:,Antall på lag (SKRIV KUN TALL):,1. (SKRIV MED BLOKKBOKSTAVER),2. (SKRIV MED BLOKKBOKSTAVER),3. (SKRIV DATOEN SÅNN HER: DD.MM.ÅÅÅÅ),4. (SKRIV MED BLOKKBOKSTAVER),5. (SKRIV MED BLOKKBOKSTAVER),6. (SKRIV MED BLOKKBOKSTAVER),7. (SKRIV MED BLOKKBOKSTAVER),8. (SKRIV MED BLOKKBOKSTAVER),9. (SKRIV MED TALL),10. (SKRIV MED BLOKKBOKSTAVER),11. (SKRIV MED TALL),12. (SKRIV MED BLOKKBOKSTAVER),13. (SKRIV MED BLOKKBOKSTAVER),"14. (SKRIV MED BLOKKBOKSTAVER) OG SVAR MED TALL, IKKE BOKSTAVER",15. (SKRIV MED BLOKKBOKSTAVER),16. (SKRIV MED BLOKKBOKSTAVER),17. (SKRIV MED BLOKKBOKSTAVER),18. (SKRIV MED BLOKKBOKSTAVER),19. (SKRIV MED BLOKKBOKSTAVER),20. (SKRIV MED BLOKKBOKSTAVER),21. (SKRIV MED BLOKKBOKSTAVER),22. (SKRIV MED BLOKKBOKSTAVER),23. (SKRIV MED BLOKKBOKSTAVER),"24. (SKRIV MED BLOKKBOKSTAVER) HA ""OG"" MELLOM HVERT PRODUKT. EKSEMPEL: KLUBBE OG SVERD OG PISTOL OG ATOMBOMBE. FRA ELDSTE PRODUKT TIL NYESTE.",25. (SKRIV MED BLOKKBOKSTAVER),26. (SKRIV MED BLOKKBOKSTAVER),27. (SKRIV KUN TALL),28. (SKRIV MED BLOKKBOKSTAVER),29. (SKRIV MED BLOKKBOKSTAVER),30. (SKRIV MED BLOKKBOKSTAVER)
,1,31,31 / 32,quizmaster på samfunnet bislet<3,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,70,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK47,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,1,31,31 / 32,QUIZEFANT,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,MIROSLAV KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AUTOMATGEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA ,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,1,31,31 / 32,FAMILIEN LIA,5,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,100,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,KIMALE,2,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,110,JAPAN,EIFFELTÅRNET,9,TENNESSEE,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,Gutta Boys,5,INDIANA JONES,HESTEFOBI,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,105,JAPAN,EIFFELTÅRNET,9,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,D OG C OG B OG A,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,2,30,30 / 32,#denkunnskapen,5,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,50,JAPAN,EIFFELTÅRNET,11,TITANIC,TENNESSEE,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),MASKINGEVÆR,THAILAND,TORSDAG,PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,3,29,29 / 32,team Leo,4,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,116,JAPAN,EIFELTÅRNET,9,TENNESSEE,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRETENSIØS,WALT DISNEY,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,3,29,29 / 32,Hvilakara og Wenche,4,INDIANA JONES,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHERMA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),AK-47,THAILAND,TORSDAG,PALTROW,LYSHASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,WALT DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
,4,28,28 / 32,Svararna,2,INDIANA JONES,HEST,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,INDONESIA,1970,MIROSLAV KLOSE,104,JAPAN,EIFFELTÅRNET,9,Rebus film,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),GEVÆR,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG IPOD,PRIMADONNA,H,96,EMPIRE STATE BUILDING,KATTEDYR,KJÆRLIGHET
,4,28,28 / 32,Sons Store Sønner <3 ,2,INDIANA,HESTER,01.09.1939,MAINE,PSYDUCK,20%,PILOTFRUE,NORGE,1970,KLOSE,65,JAPAN,EIFFELTÅRNET,9,TITANIC,MISSOURI,EPHEMERA,C) ETHIOPIA OG BELGIA (SAMMENLAGT),RIFLE,THAILAND,TORSDAG,GWYNETH PALTROW,LYSETS HASTIGHET,TAMAGOTCHI OG FURBY OG PLAYSTATION 2 OG OG IPOD,DIVA,DISNEY,96,EMPIRE STATE BUILDING,KATT,KJÆRLIGHET
